event,id,t,t_diff,t_end,t_end_recv,t_start
SOCKET_ACCEPT,NONE,17:50.490194,,,,
SOCKET_HANDLER_START,NONE,17:50.490455,,,,
SOCKET_ACCEPT,NONE,17:50.490604,,,,
SOCKET_RECV_DONE,NONE,17:50.490843,,,,
SOCKET_HANDLER_START,NONE,17:50.490985,,,,
SOCKET_RECV_DONE,NONE,17:50.491339,,,,
SOCKET_BEFORE_RECV_EPR,4yane3pmd,17:50.498085,,,,
RECV_ENTER,4yane3pmd,17:50.498229,,,,
RECV_EPR_START,4yane3pmd,,,,,17:50.498225
ReceiveEPR,4yane3pmd,,0.001609,17:50.499834,,17:50.498225
RECV_BEFORE_MONITOR,4yane3pmd,17:50.500096,,,,
RECV_BEFORE_UPDATE,4yane3pmd,17:50.500472,,,,
RECV_BEFORE_NOTIFY,4yane3pmd,17:50.500909,,,,
SOCKET_ACCEPT,NONE,17:50.501697,,,,
SOCKET_HANDLER_START,NONE,17:50.501967,,,,
SOCKET_RECV_DONE,NONE,17:50.502152,,,,
SOCKET_ACCEPT,NONE,17:50.504339,,,,
SOCKET_HANDLER_START,NONE,17:50.504734,,,,
SOCKET_ACCEPT,NONE,17:50.504878,,,,
SOCKET_HANDLER_START,NONE,17:50.505161,,,,
SOCKET_RECV_DONE,NONE,17:50.505391,,,,
SOCKET_RECV_DONE,NONE,17:50.505567,,,,
SOCKET_ACCEPT,NONE,17:50.508355,,,,
RECV_TOTAL_no_plots,4yane3pmd,,0.00959999999986394,,17:50.507825,17:50.498225
SOCKET_ACCEPT,NONE,17:50.508922,,,,
SOCKET_HANDLER_START,NONE,17:50.508847,,,,
SOCKET_RECV_DONE,NONE,17:50.509334,,,,
SOCKET_HANDLER_START,NONE,17:50.509460,,,,
SOCKET_RECV_DONE,NONE,17:50.509793,,,,
CreateEPR_backend,4yane3pmd,,0.026116,17:50.539431,,17:50.513315
CreateEPR_backend,d1jnl0d6p,,0.029101,17:50.539443,,17:50.510342
CreateEPR_notify,4yane3pmd,,0.000108,17:50.539669,,17:50.539561
CreateEPR_total,4yane3pmd,,0.026418,17:50.539714,,17:50.513296
CreateEPR_notify,d1jnl0d6p,,0.000305,17:50.539897,,17:50.539592
CreateEPR_total,d1jnl0d6p,,0.029698,17:50.539967,,17:50.510269
RECV_TOTAL,4yane3pmd,,0.19735399999990477,,17:50.695579,17:50.498225
SOCKET_AFTER_RECV_EPR,4yane3pmd,17:50.695676,,,,
SOCKET_AFTER_SEND_RECV_EPR,4yane3pmd,17:50.695773,,,,
ORDER_RECV_EXECUTING,d1jnl0d6p,,,,,32:35.548852
SOCKET_ACCEPT,NONE,17:50.698474,,,,
SOCKET_HANDLER_START,NONE,17:50.698766,,,,
SOCKET_ACCEPT,NONE,17:50.698874,,,,
SOCKET_RECV_DONE,NONE,17:50.699102,,,,
SOCKET_HANDLER_START,NONE,17:50.699198,,,,
SOCKET_RECV_DONE,NONE,17:50.699385,,,,
SOCKET_BEFORE_RECV_EPR,d1jnl0d6p,17:50.702455,,,,
RECV_ENTER,d1jnl0d6p,17:50.702526,,,,
RECV_EPR_START,d1jnl0d6p,,,,,17:50.702523
ReceiveEPR,d1jnl0d6p,,0.001064,17:50.703587,,17:50.702523
RECV_BEFORE_MONITOR,d1jnl0d6p,17:50.703664,,,,
RECV_BEFORE_UPDATE,d1jnl0d6p,17:50.703805,,,,
RECV_BEFORE_NOTIFY,d1jnl0d6p,17:50.703864,,,,
SOCKET_ACCEPT,NONE,17:50.704368,,,,
SOCKET_HANDLER_START,NONE,17:50.704747,,,,
SOCKET_RECV_DONE,NONE,17:50.704912,,,,
RECV_TOTAL_no_plots,d1jnl0d6p,,0.0056110000000444415,,17:50.708134,17:50.702523
RECV_TOTAL,d1jnl0d6p,,0.20923900000002504,,17:50.911762,17:50.702523
SOCKET_AFTER_RECV_EPR,d1jnl0d6p,17:50.911859,,,,
SOCKET_AFTER_SEND_RECV_EPR,d1jnl0d6p,17:50.911969,,,,
SOCKET_ACCEPT,NONE,17:55.396504,,,,
SOCKET_ACCEPT,NONE,17:55.396578,,,,
SOCKET_HANDLER_START,NONE,17:55.396818,,,,
SOCKET_ACCEPT,NONE,17:55.396981,,,,
SOCKET_HANDLER_START,NONE,17:55.396886,,,,
SOCKET_ACCEPT,NONE,17:55.397091,,,,
SOCKET_RECV_DONE,NONE,17:55.397143,,,,
SOCKET_RECV_DONE,NONE,17:55.397317,,,,
SOCKET_HANDLER_START,NONE,17:55.397358,,,,
SOCKET_RECV_DONE,NONE,17:55.397409,,,,
SOCKET_HANDLER_START,NONE,17:55.397430,,,,
SOCKET_RECV_DONE,NONE,17:55.397845,,,,
CreateEPR_backend,qdpk4jyr9,,0.006544,17:55.407359,,17:55.400815
CreateEPR_notify,qdpk4jyr9,,0.000121,17:55.407606,,17:55.407485
CreateEPR_total,qdpk4jyr9,,0.006858,17:55.407641,,17:55.400783
CreateEPR_backend,krxpynhmq,,0.010471,17:55.412885,,17:55.402414
CreateEPR_notify,krxpynhmq,,0.000533,17:55.413584,,17:55.413051
CreateEPR_total,krxpynhmq,,0.011419,17:55.413670,,17:55.402251
ORDER_RECV_EXECUTING,krxpynhmq,,,,,32:40.266703
SOCKET_ACCEPT,NONE,17:55.416365,,,,
SOCKET_ACCEPT,NONE,17:55.416685,,,,
SOCKET_HANDLER_START,NONE,17:55.416611,,,,
SOCKET_RECV_DONE,NONE,17:55.417129,,,,
SOCKET_HANDLER_START,NONE,17:55.416921,,,,
SOCKET_RECV_DONE,NONE,17:55.417315,,,,
SOCKET_BEFORE_RECV_EPR,krxpynhmq,17:55.420055,,,,
RECV_ENTER,krxpynhmq,17:55.420117,,,,
RECV_EPR_START,krxpynhmq,,,,,17:55.420115
ReceiveEPR,krxpynhmq,,0.001306,17:55.421421,,17:55.420115
RECV_BEFORE_MONITOR,krxpynhmq,17:55.421502,,,,
RECV_BEFORE_UPDATE,krxpynhmq,17:55.421693,,,,
RECV_BEFORE_NOTIFY,krxpynhmq,17:55.421883,,,,
SOCKET_ACCEPT,NONE,17:55.422208,,,,
SOCKET_HANDLER_START,NONE,17:55.422578,,,,
SOCKET_RECV_DONE,NONE,17:55.422676,,,,
RECV_TOTAL_no_plots,krxpynhmq,,0.013789000000087981,,17:55.433904,17:55.420115
SOCKET_ACCEPT,NONE,17:55.434809,,,,
SOCKET_ACCEPT,NONE,17:55.435066,,,,
SOCKET_HANDLER_START,NONE,17:55.435007,,,,
SOCKET_HANDLER_START,NONE,17:55.435287,,,,
SOCKET_RECV_DONE,NONE,17:55.435655,,,,
SOCKET_RECV_DONE,NONE,17:55.435770,,,,
SOCKET_ACCEPT,NONE,17:55.437574,,,,
SOCKET_HANDLER_START,NONE,17:55.437985,,,,
SOCKET_ACCEPT,NONE,17:55.438127,,,,
SOCKET_RECV_DONE,NONE,17:55.438238,,,,
SOCKET_HANDLER_START,NONE,17:55.438880,,,,
SOCKET_RECV_DONE,NONE,17:55.439433,,,,
CreateEPR_backend,qdpk4jyr9,,0.009024,17:55.453632,,17:55.444608
CreateEPR_notify,qdpk4jyr9,,0.000112,17:55.453856,,17:55.453744
CreateEPR_total,qdpk4jyr9,,0.009349,17:55.453886,,17:55.444537
CreateEPR_backend,krxpynhmq,,0.022419,17:55.462836,,17:55.440417
CreateEPR_notify,krxpynhmq,,0.000101,17:55.463059,,17:55.462958
CreateEPR_total,krxpynhmq,,0.022692,17:55.463090,,17:55.440398
RECV_TOTAL,krxpynhmq,,0.21195200000011027,,17:55.632067,17:55.420115
SOCKET_AFTER_RECV_EPR,krxpynhmq,17:55.632161,,,,
SOCKET_AFTER_SEND_RECV_EPR,krxpynhmq,17:55.632266,,,,
ORDER_RECV_EXECUTING,qdpk4jyr9,,,,,32:40.484281
SOCKET_ACCEPT,NONE,17:55.633902,,,,
SOCKET_HANDLER_START,NONE,17:55.634197,,,,
SOCKET_ACCEPT,NONE,17:55.634302,,,,
SOCKET_RECV_DONE,NONE,17:55.634341,,,,
SOCKET_HANDLER_START,NONE,17:55.634495,,,,
SOCKET_RECV_DONE,NONE,17:55.634687,,,,
SOCKET_BEFORE_RECV_EPR,qdpk4jyr9,17:55.637442,,,,
RECV_ENTER,qdpk4jyr9,17:55.637511,,,,
RECV_EPR_START,qdpk4jyr9,,,,,17:55.637509
ReceiveEPR,qdpk4jyr9,,0.001065,17:55.638574,,17:55.637509
RECV_BEFORE_MONITOR,qdpk4jyr9,17:55.638644,,,,
RECV_BEFORE_UPDATE,qdpk4jyr9,17:55.638773,,,,
RECV_BEFORE_NOTIFY,qdpk4jyr9,17:55.638854,,,,
SOCKET_ACCEPT,NONE,17:55.639112,,,,
SOCKET_HANDLER_START,NONE,17:55.639391,,,,
SOCKET_RECV_DONE,NONE,17:55.639498,,,,
RECV_TOTAL_no_plots,qdpk4jyr9,,0.004748000000063257,,17:55.642257,17:55.637509
RECV_TOTAL,qdpk4jyr9,,0.21564200000011624,,17:55.853151,17:55.637509
SOCKET_AFTER_RECV_EPR,qdpk4jyr9,17:55.853232,,,,
SOCKET_AFTER_SEND_RECV_EPR,qdpk4jyr9,17:55.853447,,,,
SOCKET_ACCEPT,NONE,18:00.851652,,,,
